		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2.425781	M = 1250	N = 8	m = 9	n = 10000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
000010001    2    1    4    1    1    0    1    1  7.926019 0.440730 SUCCESS   8
000010011    2    1    2    1    5    1    1    3  6.545791 0.586333 SUCCESS   9
000010101    2    1    8    4    2    3    2    5 18.252903 0.019408 SUCCESS  10
000010111    4    5    5    1    3    4    2    4  9.842450 0.276259 SUCCESS  11
000011001    0    1    2    5    6    4    7    1 22.426686 0.004184 FAILURE  12
000011011    4    4    1    3    2    2    2    6  8.743564 0.364388 SUCCESS  13
000011101    4    3    2    3    2    3    4    2  2.749337 0.949090 SUCCESS  14
000011111    1    1    2    1    1    7    0    0 17.372470 0.026456 SUCCESS  15
000100011    1    1    0    0    0    1    1    1 11.785361 0.161041 SUCCESS  16
000100101    3    4    5    2    2    3    1    1  6.012897 0.645787 SUCCESS  17
000100111    1    2    3    5    2    0    0    1  9.809351 0.278663 SUCCESS  18
000101001    1    2    2    1    1    3    3    4  4.066676 0.851058 SUCCESS  19
000101011    1    2    5    3    4    4    2    4  7.111783 0.524622 SUCCESS  20
000101101    3    1    6    3    3    2    0    2  9.339345 0.314483 SUCCESS  21
000101111    4    3    4    1    3    4    1    3  5.291339 0.726032 SUCCESS  22
000110011    0    1    2    3    5    1    8    1 21.264912 0.006476 FAILURE  23
000110101    5    1    2    0    1    1    2    2  8.114683 0.422349 SUCCESS  24
000110111    0    4    1    3    0    3    1    2  8.114683 0.422349 SUCCESS  25
000111001    3    6    3    2    3    1    2    2  6.923119 0.544950 SUCCESS  26
000111011    6    4    0    3    1    2    3    0 12.665794 0.123878 SUCCESS  27
